order_id,order_time,zone,category,order_value,delivery_time_mins,weather,delivery_cost,discount,freshness_hrs_left,contribution_margin
100000,2025-01-21 15:07:00,Indiranagar,Home Needs,407.14,14,Cloudy,40,0,500,367.14
100001,2025-01-22 19:47:00,Jayanagar,Perishable,770.02,11,Clear,40,0,6,730.02
100002,2025-01-07 09:14:00,Jayanagar,Perishable,739.31,23,Clear,40,0,29,699.31
100003,2025-01-19 05:17:00,Indiranagar,Snacks,883.05,20,Cloudy,40,0,500,843.05
100004,2025-01-05 18:13:00,HSR Layout,Perishable,247.38,28,Rainy,40,0,23,207.38
100005,2025-01-20 02:16:00,Indiranagar,Beverages,713.04,22,Cloudy,40,0,500,673.04
100006,2025-01-18 20:18:00,Jayanagar,Home Needs,756.22,12,Clear,40,0,500,716.22
100007,2025-01-22 09:14:00,HSR Layout,Perishable,1048.08,13,Clear,40,50,18,958.0799999999999
100008,2025-01-15 13:40:00,HSR Layout,Snacks,538.69,16,Clear,40,0,500,498.69000000000005
100009,2025-01-23 17:59:00,Indiranagar,Snacks,710.85,17,Clear,40,0,500,670.85
100010,2025-01-15 18:24:00,HSR Layout,Snacks,868.84,11,Clear,40,0,500,828.84
100011,2025-01-27 12:02:00,HSR Layout,Beverages,431.13,16,Clear,40,100,500,291.13
100012,2025-01-29 17:45:00,HSR Layout,Snacks,838.21,37,Rainy,45,50,500,743.21
100013,2025-01-05 10:16:00,Koramangala,Snacks,932.24,18,Clear,40,100,500,792.24
100014,2025-01-14 18:57:00,Jayanagar,Beverages,530.1,14,Clear,40,100,500,390.1
100015,2025-01-16 18:05:00,Indiranagar,Perishable,310.48,15,Clear,40,50,39,220.48000000000002
100016,2025-01-03 06:24:00,Whitefield,Beverages,705.57,10,Cloudy,40,0,500,665.57
100017,2025-01-22 22:56:00,Jayanagar,Home Needs,957.03,35,Rainy,45,0,500,912.03
100018,2025-01-10 13:27:00,Koramangala,Beverages,153.41,18,Clear,40,100,500,13.409999999999997
100019,2025-01-25 19:11:00,Jayanagar,Perishable,1064.04,19,Clear,40,100,39,924.04
100020,2025-01-07 08:09:00,HSR Layout,Snacks,716.35,10,Clear,40,100,500,576.35
100021,2025-01-11 03:31:00,Indiranagar,Perishable,1125.55,19,Cloudy,40,0,4,1085.55
100022,2025-01-08 11:56:00,Jayanagar,Perishable,239.94,25,Clear,40,0,35,199.94
100023,2025-01-25 13:08:00,Koramangala,Beverages,1144.19,15,Clear,40,0,500,1104.19
100024,2025-01-17 18:55:00,Jayanagar,Beverages,1162.58,16,Clear,40,0,500,1122.58
100025,2025-01-13 22:42:00,HSR Layout,Beverages,1094.59,39,Rainy,45,0,500,1049.59
100026,2025-01-08 21:14:00,Indiranagar,Home Needs,172.09,17,Cloudy,40,100,500,32.09
100027,2025-01-08 18:00:00,Indiranagar,Perishable,390.39,11,Cloudy,40,0,5,350.39
100028,2025-01-17 07:15:00,HSR Layout,Beverages,374.95,14,Clear,40,100,500,234.95
100029,2025-01-19 04:30:00,Koramangala,Beverages,997.87,16,Clear,40,0,500,957.87
100030,2025-01-04 16:42:00,Whitefield,Home Needs,594.76,24,Clear,40,0,500,554.76
100031,2025-01-22 20:41:00,Indiranagar,Perishable,572.75,20,Clear,40,0,16,532.75
100032,2025-01-07 12:12:00,Jayanagar,Beverages,297.19,15,Clear,40,0,500,257.19
100033,2025-01-15 08:15:00,Indiranagar,Beverages,998.42,28,Rainy,40,0,500,958.42
100034,2025-01-21 07:34:00,Indiranagar,Perishable,1122.69,17,Cloudy,40,0,27,1082.69
